"Отметка времени","Я:","Возраст:","Есть ли у Вас комнатные растения?","Хотели бы Вы купить комнатное растение?","Хочу купить растение, почему?","Не хочу покупать растение, почему?","А может кактус? Прикольно выглядит, ухаживать не нужно","Сколько бы Вы максимум потратили на растение?"
"2018/03/29 6:27:34 PM GMT+3","Мужчина","18-23","Нет","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","400-600"
"2018/03/29 6:32:18 PM GMT+3","Женщина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 6:34:49 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","400-600"
"2018/03/29 6:38:32 PM GMT+3","Мужчина","18-23","Да","Нет","","Надо ухаживать","Нет",""
"2018/03/29 6:39:00 PM GMT+3","Женщина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","2000+"
"2018/03/29 6:47:22 PM GMT+3","Мужчина","18-23","Нет","Да","Хороший подарок","","","1300-1600"
"2018/03/29 6:50:09 PM GMT+3","Женщина","45+","Да","Нет","","Их и так много","",""
"2018/03/29 6:50:19 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","400-600"
"2018/03/29 6:50:47 PM GMT+3","Мужчина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 7:01:21 PM GMT+3","Женщина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 7:01:39 PM GMT+3","Мужчина","18-23","Да","Нет","","Их и так много","",""
"2018/03/29 7:06:04 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","400-600"
"2018/03/29 7:06:14 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не люблю растения","",""
"2018/03/29 7:12:06 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","600-900"
"2018/03/29 7:15:33 PM GMT+3","Мужчина","45+","Да","Да","4:20 legalize","","","2000+"
"2018/03/29 7:18:32 PM GMT+3","Женщина","18-23","Нет","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","1300-1600"
"2018/03/29 7:19:25 PM GMT+3","Мужчина","18-23","Да","Да","Хочу украсить свой интерьер, не хватает зелени","","","200-400"
"2018/03/29 7:31:21 PM GMT+3","Женщина","16-17","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 7:37:03 PM GMT+3","Женщина","18-23","Да","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","400-600"
"2018/03/29 7:47:28 PM GMT+3","Мужчина","18-23","Да","Да","Санька гей ванючий , хачу мирт","","","200-400"
"2018/03/29 7:51:31 PM GMT+3","Женщина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","200-400"
"2018/03/29 8:01:35 PM GMT+3","Мужчина","18-23","Нет","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","400-600"
"2018/03/29 8:11:47 PM GMT+3","Женщина","18-23","Да","Нет","","Их и так много","",""
"2018/03/29 8:14:10 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","400-600"
"2018/03/29 8:49:38 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","400-600"
"2018/03/29 8:53:35 PM GMT+3","Женщина","16-17","Да","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","1600-2000"
"2018/03/29 9:29:37 PM GMT+3","Женщина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","200-400"
"2018/03/29 9:38:10 PM GMT+3","Мужчина","16-17","Нет","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","2000+"
